trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9998000066665778}",20,0,-54.474458832162014,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9992001066609779}",25,16,-56.596710452392614,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.02, 'e': 0.9982005399352042}",20,0,-167.20239673567278,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.9968017063026194}",25,0,-93.80295233853003,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.9950041652780258}",20,0,-54.82862287865985,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9928086358538663}",25,0,-111.82794176681116,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.02, 'e': 0.9902159962126371}",25,0,-89.24607791435555,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.9872272833756269}",20,0,-31.659334605938966,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.02, 'e': 0.9838436927881214}",20,0,-45.28299175053201,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.02, 'e': 0.9800665778412416}",20,0,-31.208955321482037,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.02, 'e': 0.9758974493306055}",30,0,-56.6761767236832,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.9713379748520296}",20,12,1.6675944791260933,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.02, 'e': 0.9663899781345132}",20,0,-36.65344056830644,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.02, 'e': 0.9610554383107709}",20,0,-39.80693407567928,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
