trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-31.12437411204442,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-121.35908718751236,"{0: 18, 1: 5, 2: 12, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.60393897010367,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.74876205466603,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,4,-62.77180037235608,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.7936312467535,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.9005690137272,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-56.63842829827588,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-42.343939188945726,"{0: 27, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.08755253615666,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.32855919075746,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.82461559954262,"{0: 14, 1: 2, 2: 11, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.7423258181297,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.88453108396415,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.61675347560285,"{0: 11, 1: 7, 2: 11, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.86259994912116,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.12830208439607,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.5212704171464,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.84678189114581,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.023259683890767,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.395291644004242,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-42.72288472040313,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.40763958800252,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.904345081129954,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.441823142169845,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-35.77327771625263,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.47414706040458,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.88841987644935,"{0: 10, 1: 1, 2: 14, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-80.21744956201663,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.40239307280183,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
